PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;07/11/2014 - DOSA PROD. D. STEINFELD;91500
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;07/11/2014 - MODACOR - 104.3 FM;322690
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;14/11/2014 - LATINA FM;350750
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;ORAL;08/12/2014 - Reasignación balotaje;-1245120
Nacional;Senado;;;Jorge Larrañaga;ORAL;SEGUNDOS CONTRATADOS;4406540
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;FM Inolvidable; 23.180,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;91,3 FM san Ramón; 18.000,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;Néstor Rodríguez Plá; 32.000,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;Arco Iris Producciones; 18.000,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;Suavar SRL; 29.000,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;Radio Continental SRL; 8.500,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;ORAL;90.7 FM RadioVentura; 4.000,00 
Nacional;Diputados;Montevideo;71;Gustavo Penadés;ORAL;SARANDI COMUNICADORES S.A.;147724
Nacional;Diputados;Montevideo;71;Gustavo Penadés;ORAL;RADIO ORIENTAL S.A.;5339
Nacional;Diputados;Montevideo;71;Gustavo Penadés;ORAL;OCEANO  FM;51850
Colorado;Diputados;Canelones;1015;Daniela Barindelli;OTRO TIPO;Otro tipo de publicidad;64651
Nacional;Diputados;Montevideo;2014;Verónica Alonso;OTRO TIPO;Publicidad Otros;201999
Nacional;Diputados;Montevideo;33;Francisco Gallinal;OTRO TIPO;Otros tipos de publicidad;12000
Nacional;Diputados;Montevideo;33;Francisco Gallinal;OTRO TIPO;Otros tipos de publicidad;18300
Nacional;Diputados;Canelones;903;Javier Radiccioni;OTRO TIPO;escrita ensobre encarte de listas;1500
Frente Amplio;Senado;;;Raúl Sendic;OTRO TIPO;otros;630754
Frente Amplio;Senado;;;José Mujica;OTRO TIPO;Balconeras, internet;1295367
Frente Amplio;Senado;;;Danilo Astori;OTRO TIPO;Otros tipos de públicidad;12261
Frente Amplio;Senado;;;Nora Castro;OTRO TIPO;Otros tipos de públicidad;6466,5
Frente Amplio;Senado;;;Constanza Moreira- Beramendi;OTRO TIPO;Otros tipos de publicidad;178242
Frente Amplio;Senado;;;Marcos Carámbula;OTRO TIPO;PUBLICIDAD EN ESTADIOS DE FUTBOL;152500
Frente Amplio;Senado;;;Eduardo Brenta;OTRO TIPO;cohcheparlantes entrega listas;120000
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;OTRO TIPO;filadelfia;84790
Frente Amplio;Diputados;Montevideo;3311;Luis Puig;OTRO TIPO;tus impresos ltda;15371
Frente Amplio;Diputados;Montevideo;3311;Luis Puig;OTRO TIPO;diser ltda;25502
Frente Amplio;Diputados;Montevideo;3311;Luis Puig;OTRO TIPO;dafelir sa;27084
Frente Amplio;Diputados;Montevideo;1303;Gonzalo Reboledo;OTRO TIPO;Sobres institucionales;7582
Frente Amplio;Diputados;Montevideo;99738;Fernando Lorenzo;OTRO TIPO;Remeras, gorros, balconeras, pasacalles;106543
Frente Amplio;Diputados;Montevideo;764;Pablo Alvarez;OTRO TIPO;Otros tipos de públicidad;6466,5
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Otros;11/09/2014 - LIVING EXPRESS;22570
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Otros;29/10/2014 - PELLICER - ALIM. DELG.EXTR.;19149
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Otros;08/12/2014 - Reasignación balotaje;-41719
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;PRODUCCION;Productoras - Indias;4011360
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;PRODUCCION;Productoras - La Mayor;146400
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;PRODUCCION;Publicidad digital - Pinky;567456
Nacional;Diputados;Canelones;2014;Daniel Peña;PRODUCCION;Agencias de publicidad;690000
Frente Amplio;Senado;;;Raúl Sendic;PRODUCCION;produccion de contenidos;3368722,2
Frente Amplio;Senado;;;Danilo Astori;PRODUCCION;Producción de Avisos;1048828,44
Frente Amplio;Diputados;Montevideo;890;Carlos Gamou;PRODUCCION;Grupo Perfil Campaña Publicitaria ;726781
Frente Amplio;Diputados;Canelones;99738;Horacio Yanes;PRODUCCION;Producción y Estudio Audio;11800
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/09/2014 - LAMAYOR -PROD. AUDIO;209535
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/10/2014 - ZINC SOUND;103700
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/10/2014 - PARIS TEXAS;1000000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/10/2014 - ZINCSOUND;103700
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;28/10/2014 - LA MAYOR;161294
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/10/2014 - PARIS TEXAS;500000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/11/2014 - NUEVA TELEVISION;16204,04
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;27/11/2014 - PARIS TEXAS;1000000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;14/08/2014 - DOMINO - REC. 4805;68448,1
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/10/2014 - WORLDWIDE - GURISA;3911,32
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/12/2014 - Reasignación balotaje;-3911,32
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;17/07/2014 - MAYNER - URUG. N.SE DETIENE;39894
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;07/08/2014 - FAMET - REC.74009;251442
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;07/08/2014 - CLISE - REC. 1632;22210,71
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/08/2014 - MAYNER - REC. 6602;451400
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;14/08/2014 - MAYNER - REC. 6583;10980
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;15/08/2014 - CARTELES.COM;32086
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;15/08/2014 - CARTELES.COM;505080
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;22/08/2014 - MAYNER;47580
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;22/08/2014 - MAYNER;954040
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;22/08/2014 - LA REPUBLICA;10199
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;29/08/2014 - CARTELES.COM;16958
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;01/09/2014 - IMPRIMEX;98400
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;01/09/2014 - GRIFELMAN SA;144204
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;02/09/2014 - MAYNER;176656
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;05/09/2014 - FAMET - REC. 74565;60780
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;05/09/2014 - FAMET - REC. 74566;1346097,5
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;11/09/2014 - MAYNER;228384
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;11/09/2014 - CARTELES.COM;124806
