 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 902.121 ; ALEJANDRO RAÚL ECHEVERRÍA DE LEÓN  ; 979.711 ; 615.262 ; 364.449 ; 434.125 ; 364.449 ; 181.137 ; 3.571 ; -   ; 33.296 ; -   ; -   ; 147.841 ; -   ; 961.644 ; 961.644 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 6.091.001 ; CARLOS RODRIGUEZ ; 967.043 ; 967.043 ; 967.043 ; -   ; -   ; -   ; 7.388 ; 1 ; -   ; -   ; -   ; -   ; -   ; 967.043 ; 967.043 ;;
 FRENTE AMPLIO ; FLORIDA ; REPRESENTANTES ; 7.117.705.103 ; JUAN GIACHETO ; 20.000 ; 20.000 ;                          -   ; 20.000 ; -   ; -   ; 6.952 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.000 ; 20.000 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 711 ; PABLO MAZZONI ; 94.000 ; 94.000 ;                          -   ; -   ; -   ; 94.000 ; 3.068 ; -   ; 74.000 ; 15.000 ; -   ; -   ; 5.000 ; 257.000 ; 257.000 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 9.287 ; -   ; 9.287 ; -   ; 9.287 ; -   ; 91 ; -   ; -   ; -   ; -   ; -   ; -   ; 9.287 ; -   ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 1.001 ; JULIAN MAZONI ; 187.704 ; -   ; 187.704 ; -   ; 187.704 ; -   ; 1.814 ; -   ; -   ; -   ; -   ; -   ; -   ; 187.704 ; -   ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 1.968 ; PABLO DANIEL CABRERA STELLATELLI ; 17.861 ; 5.964 ; 17.861 ; -   ; 11.897 ; -   ; 82 ; -   ; -   ; -   ; -   ; -   ; -   ; 16.911 ; 5.014 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 2.121 ; ERNESTO CESAR ESTRADA ; 290.010 ; 290.010 ; 260.000 ; -   ; -   ; 30.010 ; 3.774 ; -   ; -   ; -   ; -   ; 30.010 ; -   ; 290.002 ; 290.002 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 3.041 ; GONZALO OLIVERA  ; 66.754 ; 43.630 ; 43.630 ; -   ; 23.124 ; -   ; 172 ; -   ; -   ; -   ; -   ; -   ; -   ; 26.624 ; 3.500 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 3.311 ; EMILIA ALMEIDA ; 60.985 ; 34.917 ; 58.985 ; -   ; 26.068 ; 2.000 ; 578 ; -   ; -   ; -   ; 2.000 ; -   ; -   ; 54.390 ; 28.322 ;;
