PARTIDO;DEPARTAMENTO;NIVEL;HOJA;CANDIDATO_1;INGRESOS_TOT;INGRESOS_NET;FIN_PUB;FIN_INT;CES_FON;FIN_PRIV;VOTOS;BANCAS;PERSONAS;EMPRESAS;ANONIMA;CANDIDATOS;OTROS;EGRESOS_TOT;EGRESOS_NET
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;2121;MARCO ANTONIO GARCIA ARTOLA;1464154;694736;764619;689375;769418;10160;7492;0;4800;0;260;0;5100;1442000;672582
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;3311;MARIO ALBERTO DÍAZ DE LEÓN;171138;100536;171138;0;70602;0;1677;0;0;0;0;0;0;160602;90000
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;474959;SAUL VILLAGRAN;143000;143000;84000;59000;0;0;663;0;0;0;0;0;0;49000;49000
FRENTE AMPLIO;PAYSANDÚ;REPRESENTANTES;711100177;PATRICIA VOLPE;20000;20000;307000;20000;0;0;7999;0;0;0;0;0;0;20000;20000
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;90;MARILYN MAZANTTI ;678905;510780;357713;267280;168125;53912;1402;0;0;0;53912;0;0;527182,08;359057,08
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;609;GRACIELA CACERES;522332;522332;522332;0;0;0;3456;0;0;0;0;0;0;522332;522332
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;871;RAUL CAMPANELLA;7756;0;7756;0;7756;0;76;0;0;0;0;0;0;7756;0
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;959;HECTOR VIERA;74054;74054;18704;47650;0;7700;180;0;0;0;0;7700;0;74000;74000
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;1813;LUIS DA COSTA;185450;185450;67101;15000;0;103349;586;0;0;0;0;103349;0;181843;181843
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;1968;PABLO DANIEL CABRERA STELLATELLI;18048;6151;18048;0;11897;0;75;0;0;0;0;0;0;16819,7904;4922,780404
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;3311;PABLO ENRIQUE CENTURIÓN;35513;20862;35513;0;14651;0;348;0;0;0;0;0;0;37211;22560
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;5271;JUAN SARDELA VIZOSA;10000;10000;10000;0;0;0;214;0;0;0;0;0;0;0;0
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;212199738;CONSTANTE MENDIONDO;727100;462100;643000;84100;265000;0;6300;1;0;0;0;0;0;637726;372726
FRENTE AMPLIO;RÍO NEGRO;REPRESENTANTES;711771001;ALVARO DEBALI;467140;467140;466140;0;0;0;4486;0;0;0;0;0;0;465000;465000
